code,name_en,name_km,kind,parent_id,latitude,longitude
01030602,Ponley,ពន្លៃ,village,010306,13.7956768,103.3790308
01030603,Kouk Seh,គោកសេះ,village,010306,13.74854148,103.3590126
01030604,Thnal Dach,ថ្នល់ដាច់,village,010306,13.75038854,103.3527027
01030605,Bos Sbov,បុស្បូវ,village,010306,13.72230509,103.3554969
01030606,Trapeang Prei,ត្រពាំងប្រីយ៍,village,010306,13.74047423,103.3692399
01030607,Kamping Puoy,កំពីងពួយ,village,010306,13.78025009,103.3698892
01030608,Spean Khmeng,ស្ពានក្មេង,village,010306,13.73380111,103.3702569
01030609,Trang,ត្រាង,village,010306,13.7462589,103.3493054
0104,Preah Netr Preah,ព្រះនេត្រព្រះ,district,01,13.6209301,103.1826862
010401,Chnuor Mean Chey,ឈ្នួរមានជ័យ,commune,0104,13.6228706,103.0933171
01040101,Samraong Touch,សំរោងតូច,village,010401,13.64098156,103.1056028
01040102,Kouk Pongro,គោកពង្រ,village,010401,13.63545652,103.1183074
01040103,Thma Koul,ថ្មគោល,village,010401,13.63828444,103.1074726
01040104,Proput,ប្រពុត,village,010401,13.65174151,103.0944268
01040105,Bantoat Baoh,បន្ទាត់បោះ,village,010401,13.65359856,103.1008812
01040106,Kouk Treas,គោកទ្រាស,village,010401,13.6319653,103.108447
01040107,Chhnuor,ឈ្នួរ,village,010401,13.63466948,103.1075014
01040108,Samraong Thum,សំរោងធំ,village,010401,13.65257411,103.0851783
01040109,Ruessei Khang,ឫស្សីខាង,village,010401,13.64366455,103.1018848
01040110,Ruessei Kandal,ឫស្សីកណ្ដាល,village,010401,13.63825625,103.1037763
01040111,Ropeatt,រពាត់,village,010401,13.62205925,103.1131462
01040112,Kouk Trach,គោកត្រាច,village,010401,13.63070007,103.1120242
010402,Chob Vari,ជប់វារី,commune,0104,13.623858,103.1830039
01040201,Chob,ជប់,village,010402,13.62437624,103.1815112
01040202,Roul Chruk,រោលជ្រូក,village,010402,13.62803859,103.1879521
01040203,Prasat,ប្រាសាទ,village,010402,13.63259114,103.1925382
01040204,Krasang Thmei,ក្រសាំងថ្មី,village,010402,13.64076548,103.1980211
01040205,Pradak,ប្រដាក,village,010402,13.65254149,103.2016286
01040206,Chroab Thmei,ជ្រាប់ថ្មី,village,010402,13.67326804,103.1931526
01040207,Chroab Chas,ជ្រាប់ចាស់,village,010402,13.68218391,103.1764465
01040208,Kak,កក់,village,010402,13.66924946,103.1386506
01040209,Kouk Lun,គោកលុន,village,010402,13.62953951,103.1463549
01040210,Phnum Chonhcheang,ភ្នំជញ្ជាំង,village,010402,13.62512608,103.16915
01040211,Chakkrei,ចក្រី,village,010402,13.6226649,103.1798516
010403,Phnum Lieb,ភ្នំលៀប,commune,0104,13.6039304,103.3199672
01040301,Phnum Lieb Kaeut,ភ្នំលៀបកើត,village,010403,13.59101791,103.3602784
01040302,Phnum Lieb Lech,ភ្នំលៀបលិច,village,010403,13.59667477,103.3572916
01040303,Troyoung,ទ្រយោង,village,010403,13.5891002,103.3328103
01040304,Tro Louk Cheung,ទ្រលោកជើង,village,010403,13.58026433,103.3361523
01040305,Tro Louk Lech,ទ្រលោកលិច,village,010403,13.5729779,103.3278872
01040306,Tro Louk Tboung,ទ្រលោកត្បូង,village,010403,13.56943652,103.3389996
01040307,Laote,ឡោទេ,village,010403,13.6137193,103.337767
01040308,Rumduol,រំដួល,village,010403,13.60451921,103.3138046
01040309,Pring Chuor,ព្រីងជួរ,village,010403,13.59630303,103.3018499
01040310,Kantrab,កន្ដ្រប់,village,010403,13.59445118,103.2953947
01040311,Tnaot,ត្នោត,village,010403,13.58900287,103.2917376
01040312,Anlong Sa,អន្លង់សា,village,010403,13.58445834,103.2880741
01040313,Kandaol,កណ្ដោល,village,010403,13.56356838,103.2734411
01040314,Kambaor,កំបោរ,village,010403,13.5329271,103.2865955
01040315,Kabau,កាបៅ,village,010403,13.44959657,103.2613321
01040316,Kampong Krasang,កំពង់ក្រសាំង,village,010403,13.44055189,103.2604738
010404,Prasat,ប្រាសាទ,commune,0104,13.4400516,103.3356272
01040401,Char,ចារ,village,010404,13.55090638,103.4084219
01040402,Bat Trang,បត់ត្រង់,village,010404,13.44701865,103.4014819
01040403,Sampov Lun,សំពៅលូន,village,010404,13.54531909,103.4153791
01040404,Phlov Leav,ផ្លូវលាវ,village,010404,13.53648518,103.4149849
01040405,Ta Am,តាអំ,village,010404,13.47547519,103.3987623
01040406,Ampil,អំពិល,village,010404,13.52923059,103.4113375
01040407,Kandal,កណ្ដាល,village,010404,13.52471112,103.4113675
01040408,Thmei,ថ្មី,village,010404,13.52017993,103.4095499
01040409,Aomal,ឱម៉ាល់,village,010404,13.51477414,103.4123571
01040410,Tumloab,ទម្លាប់,village,010404,13.51201553,103.4049852
01040411,Kien Banteay,កៀនបន្ទាយ,village,010404,13.50298835,103.4068926
01040412,Prasat,ប្រាសាទ,village,010404,13.50024729,103.4022922
01040413,Anlong Sa,អន្លង់សា,village,010404,13.49391416,103.4014106
01040414,Kampream,កំព្រាម,village,010404,13.48667125,103.3996114
010405,Preak Netr Preah,ព្រះនេត្រព្រះ,commune,0104,13.5857934,103.1509672
01040501,Paoy Kdoeang,ប៉ោយក្ដឿង,village,010405,13.59948822,103.1659561
01040502,Cheung Voat,ជើងវត្ដ,village,010405,13.59273048,103.1799048
01040503,Kandal,កណ្ដាល,village,010405,13.59179968,103.176216
01040504,Post Chas,ប៉ុស្ដិចាស់,village,010405,13.5917726,103.1725203
01040505,Paoy Samraong,ប៉ោយសំរោង,village,010405,13.59355302,103.1688107
01040506,Paoy Pring,ប៉ោយព្រីង,village,010405,13.59507029,103.1600673
01040507,Paoy Ta Paen,ប៉ោយតាប៉ែន,village,010405,13.60071509,103.1595155
01040508,Sreh Kaeut,ស្រេះកើត,village,010405,13.5681998,103.162538
01040509,Sreh Lech,ស្រេះលិច,village,010405,13.57082239,103.1505071
01040510,Kouk Srok,គោកស្រុក,village,010405,13.57718296,103.1550775
01040511,Sramaoch,ស្រមោច,village,010405,13.56789724,103.1218897
01040512,Peam Sreh,ពាមស្រេះ,village,010405,13.55351338,103.1321647
01040513,Doun Chraeng,ដូនច្រែង,village,010405,13.51482675,103.1560939
010406,Rohal,រហាល,commune,0104,13.6047521,103.2201828
01040601,Rohal,រហាល,village,010406,13.61931994,103.2323757
01040602,Sala Chheh,សាលាឆេះ,village,010406,13.61836349,103.2249899
01040603,Chak,ចក,village,010406,13.61560586,103.2185418
01040604,Tep Kaosa,ទេពកោសា,village,010406,13.62273655,103.2046266
01040605,Snay,ស្នាយ,village,010406,13.61456955,103.2026367
01040606,Anlong Thma,អន្លង់ថ្ម,village,010406,13.63267202,103.2036921
01040607,Popel,ពពេល,village,010406,13.64451406,103.2164768
01040608,Paoy Svay,ប៉ោយស្វាយ,village,010406,13.63826028,103.2266898
01040609,Ruessei,ឫស្សី,village,010406,13.63197318,103.2322817
01040610,Prey Moan,ព្រៃមាន់,village,010406,13.61330442,103.2767775
01040611,Stueng Kambot,ស្ទឹងកំបុត,village,010406,13.47454046,103.2094326
010407,Tean Kam,ទានកាំ,commune,0104,13.7073994,103.2086442
01040701,Bantoat Baoh,បន្ទាត់បោះ,village,010407,13.70264023,103.2557904
01040702,Tean Kam Lech,ទានកាំលិច,village,010407,13.71507635,103.2251902
01040703,Tean Kam Cheung,ទានកាំជើង,village,010407,13.71692371,103.2307233
01040704,Tean Kam Tboung,ទានកាំត្បូង,village,010407,13.70785926,103.2270933
01040705,Ou,អូរ,village,010407,13.69802962,103.2428823
01040706,Ta Un,តាអ៊ុន,village,010407,13.69344518,103.2085747
010408,Tuek Chour,ទឹកជោរ,commune,0104,13.653284,103.3702811
01040801,Smach,ស្មាច់,village,010408,13.6751096,103.3160211
01040802,Paoy Char,ប៉ោយចារ,village,010408,13.66464072,103.3452769
01040803,Ta Khaek,តាខែក,village,010408,13.65275698,103.3633744
01040804,Kouk kei,គោកកី,village,010408,13.63820345,103.349611
01040805,Tonloab,ទន្លាប់,village,010408,13.63365958,103.3459456
01040806,Kouk Tiem,គោកទៀម,village,010408,13.65751146,103.3993905
01040807,Char Leu,ចារលើ,village,010408,13.64754493,103.3957605
01040808,Kantuot,កន្ទួត,village,010408,13.63464652,103.3958384
01040809,Thmei,ថ្មី,village,010408,13.61859096,103.391335
01040810,Kandal,កណ្ដាល,village,010408,13.61137784,103.3941562
01040811,Tuek Chour,ទឹកជោរ,village,010408,13.60597242,103.396965
01040812,Ta Siev,តាសៀវ,village,010408,13.60692972,103.4052759
01040813,Kampong Thkov,កំពង់ថ្កូវ,village,010408,13.60243393,103.4090025
01040814,Ta Pon,តាប៉ុន,village,010408,13.58883425,103.4026247
01040815,Snay L'a,ស្នាយល្អ,village,010408,13.58435618,103.4091231
01040816,Ta Daek,តាដែក,village,010408,13.57807012,103.4156333
01040817,Samraong,សំរោង,village,010408,13.56353725,103.4046419
01040818,Anlong Vil,អន្លង់វិល,village,010408,13.55812572,103.406526
010409,Bos Sbov,បុស្បូវ,commune,0104,13.6921465,103.0702646
01040901,Trabaek,ត្របែក,village,010409,13.64416831,103.0422183
01040902,Kandal,កណ្ដាល,village,010409,13.64931526,103.0405031
01040903,Kouk Thum,គោកធំ,village,010409,13.65223517,103.0417451
01040904,Bos Sbov,បុស្បូវ,village,010409,13.67216038,103.047126
